compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_voigt
B2Pd4,aflow:e08343d8957650ce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B1Pd2_ICSD_10487,58,oP6,163.843
As12Co4,aflow:e08a1eaed209b52f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/As3Co1_ICSD_610045,204,cI32,108.409
S12Tb8,aflow:e1cd7bdc8d6436d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/S3Tb2_ICSD_80767,62,oP20,80.0815
As1Na1,aflow:e12969699a989f2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/As1Na1_ICSD_182160,123,tP2,42.5278
Os1Si1,aflow:e1d28089643c20a9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1Si1_ICSD_43417,221,cP2,292.967
Ge4Mn4,aflow:e182ca9954d90d4a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge1Mn1_ICSD_187195,198,cP8,58.4389
N4Os2,aflow:e1d826fcaf063f28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/N2Os1_ICSD_240758,58,oP6,349.478
C3Nb4,aflow:e1f16aa26b4ae82a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C3Nb4_ICSD_42758,221,cP7,268.244
Ca1Hg1,aflow:e1226cf0e66c1033,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca1Hg1_ICSD_58900,221,cP2,36.3444
Dy1Tl3,aflow:e1ae2873e21ddfaf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy1Tl3_ICSD_103376,221,cP4,48.3
Ce1Pt3,aflow:e1c281621602a1a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ce1Pt3_ICSD_102258,221,cP4,178.117
Li1Pd1,aflow:e123a44c21938b32,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Li1Pd1_ICSD_104770,187,hP2,79.0926
Mg4Si2,aflow:e1275c41d8108b17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg2Si1_ICSD_108584,227,cF24,43.3333
Ni2S2,aflow:e226cfd7bcb7f9e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1S1_ICSD_151603,194,hP4,101.233
Al8Zr4,aflow:e2f80048d263595c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al2Zr1_ICSD_603593,194,hP12,113.05
Ru6Sn14,aflow:e21d8a49f3e3304c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ru3Sn7_ICSD_54510,229,cI40,104.044
B2Mg1,aflow:e2edff877e89347a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Mg1_ICSD_108064,191,hP3,152.241
Tb1Zn1,aflow:e23048d220081ed3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Tb1Zn1_ICSD_106134,221,cP2,55.7722
